Rdhs Division and Type,Teaching Hospitals,Provincial General Hospitals,District General Hospitals,Base Hospitals Type A,Base Hospitals Type B,Divisional Hospitals Type 'A',Divisional Hospitals Type 'B',Divisional Hospitals Type 'C',Other Hospitals
Colombo_Duration of Stay,3.41,-,-,1.73,2.89,1.54,1.33,1.44,7.63
Colombo_Bed Turnover Rate,73.00,-,-,159.35,71.13,65.58,107.88,81.06,40.02
Colombo_Occupancy Rate,71.73,-,-,78.78,58.62,27.87,42.35,32.37,87.95
Gampaha_Duration of Stay,3.08,-,2.06,2.17,1.20,2.42,1.12,1.72,9.14
Gampaha_Bed Turnover Rate,91.14,-,125.99,119.94,131.67,74.14,140.47,139.25,25.21
Gampaha_Occupancy Rate,80.36,-,76.62,75.69,43.58,49.89,44.29,66.26,68.90
Kalutara_Duration of Stay,-,-,2.64,1.71,1.63,1.40,1.37,1.91,-
Kalutara_Bed Turnover Rate,-,-,115.30,135.25,47.43,75.90,89.63,73.20,-
Kalutara_Occupancy Rate,-,-,87.03,67.62,22.48,29.46,34.16,38.77,-
Kandy_Duration of Stay,3.72,-,2.62,-,2.35,-,1.81,1.77,8.37
Kandy_Bed Turnover Rate,80.53,-,89.66,-,112.09,-,70.78,74.92,15.97
Kandy_Occupancy Rate,87.41,-,68.44,-,73.73,-,35.95,36.67,41.16
Matale_Duration of Stay,-,-,2.48,1.71,-,-,1.61,2.32,-
Matale_Bed Turnover Rate,-,-,85.92,194.56,-,-,62.62,69.60,-
Matale_Occupancy Rate,-,-,59.59,92.82,-,-,28.29,44.92,-
Nuwara Eliya_Duration of Stay,-,-,2.45,1.86,1.52,2.38,1.92,1.46,-
Nuwara Eliya_Bed Turnover Rate,-,-,110.55,188.96,128.51,36.45,61.83,79.19,-
Nuwara Eliya_Occupancy Rate,-,-,79.15,98.96,54.49,24.74,33.50,32.65,-
Galle_Duration of Stay,3.35,-,-,2.15,2.39,2.27,1.57,1.71,3.33
Galle_Bed Turnover Rate,73.75,-,-,109.14,61.22,48.50,73.21,116.18,63.67
Galle_Occupancy Rate,79.66,-,-,65.62,42.57,30.33,31.96,55.53,60.18
Matara_Duration of Stay,-,-,2.52,-,2.41,3.16,1.61,1.55,-
Matara_Bed Turnover Rate,-,-,93.53,-,81.09,66.20,82.90,71.14,-
Matara_Occupancy Rate,-,-,68.27,-,54.49,63.22,38.56,31.40,-
Hambantota_Duration of Stay,-,-,2.52,2.13,1.68,-,1.38,1.46,-
Hambantota_Bed Turnover Rate,-,-,90.17,161.52,104.91,-,86.59,95.27,-
Hambantota_Occupancy Rate,-,-,62.84,100.13,49.72,-,33.66,38.69,-
Jaffna_Duration of Stay,2.71,-,-,2.43,1.97,-,2.13,2.24,-
Jaffna_Bed Turnover Rate,99.68,-,-,77.63,58.46,-,65.50,24.29,-
Jaffna_Occupancy Rate,74.63,-,-,52.07,31.64,-,39.14,14.97,-
Kilinochchi_Duration of Stay,-,-,2.25,-,2.00,-,1.47,6.10,-
Kilinochchi_Bed Turnover Rate,-,-,133.43,-,85.70,-,23.26,35.36,-
Kilinochchi_Occupancy Rate,-,-,83.20,-,47.99,-,9.51,60.97,-
Mullaitivu_Duration of Stay,-,-,3.08,-,2.17,1.07,1.60,1.61,-
Mullaitivu_Bed Turnover Rate,-,-,75.43,-,68.82,72.79,74.96,17.58,-
Mullaitivu_Occupancy Rate,-,-,65.01,-,41.42,22.14,32.90,8.54,-
Vavuniya_Duration of Stay,-,-,2.33,-,2.51,-,1.14,1.68,-
Vavuniya_Bed Turnover Rate,-,-,92.69,-,29.88,-,23.51,50.34,-
Vavuniya_Occupancy Rate,-,-,61.27,-,21.02,-,7.34,24.89,-
Mannar_Duration of Stay,-,-,1.45,-,-,-,1.27,1.42,-
Mannar_Bed Turnover Rate,-,-,48.09,-,-,-,21.16,33.47,-
Mannar_Occupancy Rate,-,-,19.81,-,-,-,7.39,13.15,-
Batticaloa_Duration of Stay,2.09,-,-,-,3.07,-,2.10,2.17,-
Batticaloa_Bed Turnover Rate,89.23,-,-,-,97.84,-,72.27,88.69,-
Batticaloa_Occupancy Rate,56.28,-,-,-,83.45,-,41.94,53.76,-
Ampara_Duration of Stay,-,-,2.43,-,2.06,-,-,1.49,-
Ampara_Bed Turnover Rate,-,-,85.85,-,107.61,-,-,67.90,-
Ampara_Occupancy Rate,-,-,57.96,-,62.04,-,-,30.54,-
Kalmunai_Duration of Stay,-,-,-,2.29,1.98,-,2.23,1.74,-
Kalmunai_Bed Turnover Rate,-,-,-,77.92,76.68,-,47.90,62.21,-
Kalmunai_Occupancy Rate,-,-,-,49.28,44.14,-,30.71,29.82,-
Trincomalee_Duration of Stay,-,-,2.15,1.65,1.55,-,-,1.66,-
Trincomalee_Bed Turnover Rate,-,-,80.17,81.97,133.36,-,-,67.89,-
Trincomalee_Occupancy Rate,-,-,47.83,38.31,58.90,-,-,31.21,-
Kurunegala_Duration of Stay,-,3.03,-,2.40,2.54,1.41,1.53,1.59,-
Kurunegala_Bed Turnover Rate,-,97.32,-,88.90,101.67,71.84,70.12,73.04,-
Kurunegala_Occupancy Rate,-,83.99,-,60.37,71.73,28.42,29.72,32.21,-
Puttalam_Duration of Stay,-,-,2.20,1.97,1.82,2.08,1.46,1.39,-
Puttalam_Bed Turnover Rate,-,-,85.30,137.55,118.68,62.18,52.14,60.75,-
Puttalam_Occupancy Rate,-,-,57.24,77.70,61.64,36.22,21.47,23.44,-
Anuradhapura_Duration of Stay,3.32,-,-,-,1.92,1.58,1.54,1.98,4.97
Anuradhapura_Bed Turnover Rate,68.20,-,-,-,118.40,80.03,85.27,70.41,61.13
Anuradhapura_Occupancy Rate,63.30,-,-,-,64.89,35.33,36.91,38.83,83.98
Polonnaruwa_Duration of Stay,-,-,1.95,-,1.90,1.60,1.54,1.96,-
Polonnaruwa_Bed Turnover Rate,-,-,128.57,-,120.26,72.71,93.45,89.64,-
Polonnaruwa_Occupancy Rate,-,-,69.12,-,62.93,31.89,39.63,48.62,-
Badulla_Duration of Stay,-,4.13,-,2.94,1.66,2.77,1.89,1.62,-
Badulla_Bed Turnover Rate,-,65.66,-,106.80,137.91,90.65,56.37,71.22,-
Badulla_Occupancy Rate,-,75.21,-,89.63,64.55,69.69,29.86,31.87,-
Moneragala_Duration of Stay,-,-,2.48,-,1.95,-,1.61,1.22,-
Moneragala_Bed Turnover Rate,-,-,120.72,-,103.55,-,69.00,133.40,-
Moneragala_Occupancy Rate,-,-,89.71,-,56.41,-,30.58,44.95,-
Ratnapura_Duration of Stay,-,2.56,2.84,-,2.04,1.78,1.52,1.56,-
Ratnapura_Bed Turnover Rate,-,101.50,126.68,-,132.76,73.94,63.31,62.09,-
Ratnapura_Occupancy Rate,-,72.53,110.08,-,78.12,36.79,27.72,26.86,-
Kegalle_Duration of Stay,-,-,2.34,-,2.55,1.47,1.88,1.78,251.57
Kegalle_Bed Turnover Rate,-,-,92.60,-,98.12,92.31,60.12,85.34,0.45
Kegalle_Occupancy Rate,-,-,65.51,-,79.38,38.26,31.45,43.50,161.97
Average_Duration of Stay,3.29,3.17,2.35,2.05,2.14,1.85,1.62,1.74,7.96
Average_Bed Turnover Rate,77.96,87.65,101.44,118.18,101.50,72.09,71.66,74.92,35.24
Average_Occupancy Rate,74.70,78.07,68.87,69.16,61.89,37.38,32.66,36.42,81.47
